NL Subject,Subject Number,Country,Site,Date,Time,Date of Birth,Age (Years),Birth State,State,Occupation,Education,Number of Children,Fitness,Car Make,Car Model,Car Year,Gender,Race,Reported Height (cm),Reported Height (in),Reported Weight (kg),Reported Weight (lbs),Marital Status,Salary NL,Shoe Size NL,Jacket Size,Pants Size Waist,Pants Size Inseam,Blouse Size,Father Born,Mother Born,Work Posture,Work Hours,Cup Size,Bra Size NL,Size Underwear,Weight Gain
5228,15228,Netherlands,Soesterberg,15/10/1999,11:00,13/1/1957,43,Noord Holland,Utrecht,Health and Wellbeing,Bachelors,4,More than 10,Don't Know,Don't Know,,Female,Netherlands/Dutch,172.00,67.72,66.00,145.51,Married,No Response,43,,31,32,40,Netherlands,Netherlands,Predominantly Walking or Cycling,2,B,85,M,About the Same
5230,15230,Netherlands,Soesterberg,5/11/1999,11:00,11/7/1961,38,Utrecht,Utrecht,Other Speciality Occupation,Middle Level Education for Profession,0,4-6,Rover,Station Wagon,1994,Male,Netherlands/Dutch,195.00,76.77,85.00,187.39,Single,40kGuilders-60kGuilders,43,51,33,36,,Netherlands,Netherlands,Predominantly Sitting,36,,,M,About the Same
5231,15231,Netherlands,Soesterberg,11/2/2000,15:45,24/3/1978,22,Noord Holland,Noord Holland,Health and Wellbeing,Middle Level Education for Profession,0,0-1,Ford,Intermediate,1980,Female,Netherlands/Other,170.00,66.93,58.00,127.87,Single,Don't Know,38,,No Response,No Response,42,Germany,Netherlands,Predominantly Walking or Cycling,36,B,75,M,About the Same
5232,15232,Netherlands,Soesterberg,20/11/1999,13:00,24/10/1973,26,Utrecht,Utrecht,Education,Middle Level Education for Profession,0,4-6,Honda,Intermediate,1988,Female,Netherlands/Dutch,185.00,72.83,70.00,154.32,Living Together,30kGuilders-40kGuilders,40,,32,34,40,Netherlands,Netherlands,Predominantly Sitting,40,A,75,L,About the Same
5235,15235,Netherlands,Soesterberg,19/10/1999,10:00,2/4/1955,45,Utrecht,Utrecht,Administrative Support,University,2,0-1,Nissan,Intermediate,1999,Female,Netherlands/Dutch,162.00,63.78,69.00,152.12,Married,40kGuilders-60kGuilders,41,,34,32,40,Netherlands,Netherlands,Predominantly Walking or Cycling,40,B,85,L,About the Same
5238,15238,Netherlands,Soesterberg,15/10/1999,15:00,6/2/1941,59,Noord Holland,Utrecht,Other Speciality Occupation,Bachelors,2,2-3,Citroen,Intermediate,1994,Male,Netherlands/Dutch,172.00,67.72,80.00,176.37,Married,60kGuilders-90kGuilders,41,52,32,31,,Netherlands,Netherlands,Predominantly Sitting,25,,,5,Strong Increase
5239,15239,Netherlands,Soesterberg,15/10/1999,16:00,15/4/1946,54,Zuid Holland,Utrecht,Health and Wellbeing,Bachelors,2,4-6,Citroen,Intermediate,1994,Female,Netherlands/Dutch,165.00,64.96,78.00,171.96,Married,60kGuilders-90kGuilders,39,,32,30,46,Netherlands,Netherlands,Predominantly Sitting,36,E,85,L,About the Same
5242,15242,Netherlands,Soesterberg,14/10/1999,16:00,18/9/1939,60,Utrecht,Utrecht,Unemployed,Lower Level Education for Profession,3,4-6,Ford,Intermediate,1982,Male,Netherlands/Dutch,180.00,70.87,72.00,158.73,Married,40kGuilders-60kGuilders,40,50,34,34,,Netherlands,Netherlands,Predominantly Walking or Cycling,No Response,,,5,About the Same
5243,15243,Netherlands,Soesterberg,25/10/1999,13:00,9/9/1973,26,Lebanon,Gelderland,Health and Wellbeing,Bachelors,0,4-6,Mercedes-Benz,Luxury,1993,Female,Netherlands/Dutch,175.00,68.90,98.00,216.05,Living Together,120kGuilders-160kGuilders,43,,36,34,50,Netherlands,Netherlands,Carrying and Lifting,40,D,85,48,Strong Decrease
5247,15247,Netherlands,Soesterberg,19/10/1999,11:00,3/12/1950,49,Utrecht,Utrecht,Education,Middle Level Education for Profession,2,0-1,Fiat,Compact,1992,Female,Netherlands/Dutch,160.00,62.99,100.00,220.46,Married,40kGuilders-60kGuilders,39,,44,31,50,Netherlands,Netherlands,Predominantly Standing,36,D,100,50,Strong Increase
5249,15249,Netherlands,Soesterberg,5/2/2000,13:00,4/10/1962,37,Gelderland,Utrecht,Other Speciality Occupation,Lower Level Education for Profession,0,2-3,No Response,No Response,,Male,Netherlands/Dutch,178.00,70.08,68.00,149.91,Divorced,20kGuilders-30kGuilders,44,48,No Response,No Response,,Netherlands,Netherlands,Predominantly Walking or Cycling,55,,,4,About the Same
5250,15250,Netherlands,Soesterberg,11/2/2000,14:15,20/3/1972,28,Utrecht,Utrecht,Health and Wellbeing,Middle Level Education for Profession,0,4-6,Toyota,Intermediate,1987,Female,Netherlands/Dutch,172.00,67.72,74.00,163.14,Single,Don't Know,38,,38,32,46,Netherlands,Netherlands,Predominantly Standing,37,F,85,L,Strong Increase
5251,15251,Netherlands,Soesterberg,4/11/1999,9:00,25/3/1944,56,Limburg,Gelderland,Unemployed,High School,2,4-6,Seat,Intermediate,1999,Male,Netherlands/Other,169.00,66.54,71.00,156.53,Married,60kGuilders-90kGuilders,40,48,34,30,,Netherlands,Belgium,No Response,No Response,,,5,About the Same
5252,15252,Netherlands,Soesterberg,11/11/1999,11:00,31/7/1934,65,Drenthe,Noord Holland,Homemaker,Middle Level Education for Profession,2,0-1,Mazda,Luxury,1999,Female,Netherlands/Dutch,174.00,68.50,90.00,198.42,Married,40kGuilders-60kGuilders,40,,No Response,No Response,46,Netherlands,Netherlands,Predominantly Walking or Cycling,25,F,90,XL,About the Same
5254,15254,Netherlands,Soesterberg,7/10/1999,10:00,2/12/1936,63,Zuid Holland,Utrecht,Unemployed,Middle Level Education for Profession,1,0-1,Fiat,Intermediate,1997,Female,Netherlands/Dutch,172.00,67.72,113.00,249.12,Married,40kGuilders-60kGuilders,41,,No Response,No Response,48,Netherlands,Netherlands,No Response,No Response,C,100,50,About the Same
5256,15256,Netherlands,Soesterberg,16/9/1999,9:00,3/2/1968,32,Utrecht,Utrecht,Hotels and Restaurants,Middle Level Education for Profession,0,4-6,Peugeot,Compact,1991,Female,Netherlands/Other,165.00,64.96,65.00,143.30,Married,No Response,37,,32,32,40,Belgium,Netherlands,Predominantly Standing,20,D,75,6,About the Same
5257,15257,Netherlands,Soesterberg,18/10/1999,9:00,3/7/1958,41,Gelderland,Utrecht,Health and Wellbeing,Middle Level Education for Profession,2,0-1,Opel,Intermediate,1980,Female,Netherlands/Dutch,163.00,64.17,58.00,127.87,Married,Don't Know,38,,30,29,38,Netherlands,Netherlands,Predominantly Standing,9,B,75,38,About the Same
5258,15258,Netherlands,Soesterberg,16/8/1999,13:30,7/12/1954,45,Utrecht,Utrecht,Culture and Recreation,Middle Level Education for Profession,0,More than 10,Honda,Intermediate,1987,Female,Netherlands/Dutch,162.00,63.78,53.00,116.84,Living Together,No Response,37,,28,32,38,Netherlands,Netherlands,Predominantly Sitting,15,C,No Response,No Response,About the Same
5259,15259,Netherlands,Soesterberg,5/10/1999,11:00,22/3/1946,54,Noord Holland,Utrecht,Armed Services,Middle Level Education for Profession,3,4-6,Opel,Intermediate,1999,Male,Netherlands/Dutch,189.00,74.41,95.00,209.44,Married,90kGuilders-120kGuilders,46,52,36,No Response,,Netherlands,Netherlands,Predominantly Sitting,36,,,7,About the Same
5261,15261,Netherlands,Soesterberg,10/12/1999,10:30,26/1/1953,47,Zuid Holland,Utrecht,Health and Wellbeing,Lower Level Education for Profession,2,2-3,Opel,Intermediate,1992,Female,Netherlands/Dutch,175.00,68.90,71.00,156.53,Married,Don't Know,40,,34,32,42,Netherlands,Netherlands,Predominantly Sitting,No Response,B,80,L,About the Same
5263,15263,Netherlands,Soesterberg,3/11/1999,11:00,2/12/1959,40,Noord Holland,Utrecht,Administrative Support,University,4,2-3,Renault,Minivan,1988,Female,Netherlands/Dutch,172.00,67.72,88.00,194.01,Married,90kGuilders-120kGuilders,40,,No Response,No Response,46,Netherlands,Netherlands,Predominantly Sitting,24,F,90,XL,About the Same
5267,15267,Netherlands,Soesterberg,18/10/1999,11:00,26/6/1938,61,Noord Holland,Flevoland,Hotels and Restaurants,High School,3,2-3,No Response,No Response,,Female,Netherlands/Dutch,163.00,64.17,77.00,169.76,Married,20kGuilders-30kGuilders,40,,No Response,No Response,48,Netherlands,Netherlands,Predominantly Walking or Cycling,16,E,85,48,About the Same
5268,15268,Netherlands,Soesterberg,4/3/2000,10:00,23/2/1956,44,Noord Holland,Utrecht,Industry,Middle Level Education for Profession,0,2-3,Renault,Multi-purpose Van,1998,Male,Netherlands/Dutch,195.00,76.77,82.00,180.78,Single,60kGuilders-90kGuilders,44,No Response,33,36,,Netherlands,Netherlands,Predominantly Sitting,36,,,6,About the Same
5269,15269,Netherlands,Soesterberg,29/10/1999,13:00,14/10/1962,37,Noord Holland,Noord Holland,Financial Institutions,Bachelors,0,6-10,Ford,Intermediate,1984,Male,Netherlands/Dutch,188.00,74.02,100.00,220.46,Single,40kGuilders-60kGuilders,45,52,36,34,,Netherlands,Netherlands,Predominantly Sitting,40,,,XL,Strong Decrease
5271,15271,Netherlands,Soesterberg,13/11/1999,14:00,29/12/1949,50,Utrecht,Utrecht,Transport Storage and Communication,Lower Level Education for Profession,2,0-1,Volvo,Intermediate,1992,Male,Netherlands/Dutch,178.00,70.08,90.50,199.52,Married,40kGuilders-60kGuilders,43,No Response,No Response,No Response,,Netherlands,Netherlands,Predominantly Sitting,40,,,L,About the Same
5272,15272,Netherlands,Soesterberg,12/10/1999,16:00,21/10/1952,47,Utrecht,Utrecht,Administrative Support,Lower Level Education for Profession,2,6-10,Opel,Compact,1987,Female,Netherlands/Dutch,164.00,64.57,52.00,114.64,Single,Less than 20kGuilders,38,,29,30,36,Netherlands,Netherlands,Predominantly Walking or Cycling,20,A,75,S,About the Same
5274,15274,Netherlands,Soesterberg,11/12/1999,14:15,17/5/1945,55,Utrecht,Gelderland,Health and Wellbeing,Lower Level Education for Profession,4,2-3,No Response,No Response,,Male,Netherlands/Dutch,182.00,71.65,73.00,160.94,Divorced,20kGuilders-30kGuilders,42,50,32,32,,Netherlands,Netherlands,Predominantly Walking or Cycling,36,,,5,About the Same
5276,15276,Netherlands,Soesterberg,21/10/1999,11:00,3/11/1938,61,Noord Holland,Noord Holland,Industry,Elementary School,3,More than 10,No Response,No Response,,Male,Netherlands/Dutch,187.00,73.62,110.00,242.51,Married,30kGuilders-40kGuilders,44,56,40,32,,Netherlands,Netherlands,Predominantly Standing,20,,,L,Strong Decrease
5277,15277,Netherlands,Soesterberg,7/10/1999,14:00,28/8/1944,55,Zuid Holland,Noord Holland,Transport Storage and Communication,High School,2,4-6,Opel,Intermediate,1992,Female,Netherlands/Dutch,154.00,60.63,67.00,147.71,Divorced,40kGuilders-60kGuilders,38,,32,30,40,Netherlands,Netherlands,Predominantly Walking or Cycling,60,B,90,M,About the Same
5279,15279,Netherlands,Soesterberg,22/10/1999,13:00,14/8/1967,32,Gelderland,Gelderland,Health and Wellbeing,Middle Level Education for Profession,0,2-3,Citroen,Compact,1995,Female,Netherlands/Dutch,179.00,70.47,61.00,134.48,Married,90kGuilders-120kGuilders,39.5,,29,34,38,Netherlands,Netherlands,Predominantly Standing,24,A,75,M,About the Same
5280,15280,Netherlands,Soesterberg,9/2/2000,15:45,24/6/1949,51,Noord Holland,Utrecht,Health and Wellbeing,Middle Level Education for Profession,2,2-3,Renault,Intermediate,1990,Male,Netherlands/Dutch,177.00,69.69,104.00,229.28,Married,40kGuilders-60kGuilders,43,56,No Response,No Response,,Netherlands,Netherlands,Predominantly Walking or Cycling,40,,,7,About the Same
5282,15282,Netherlands,Soesterberg,29/10/1999,14:00,2/8/1944,55,Italy,Utrecht,Unemployed,Elementary School,0,6-10,Fiat,Intermediate,1993,Male,Netherlands/Other,167.00,65.75,105.00,231.49,Married,40kGuilders-60kGuilders,43,52,29,29,,Italy,Italy,No Response,No Response,,,L,About the Same
5287,15287,Netherlands,Soesterberg,9/12/1999,10:30,11/12/1956,43,Zuid Holland,Utrecht,Education,Lower Level Education for Profession,3,4-6,No Response,No Response,,Male,Netherlands/Dutch,196.00,77.17,100.00,220.46,Divorced,20kGuilders-30kGuilders,48,60,36,36,,Netherlands,Netherlands,Carrying and Lifting,36,,,7,About the Same
5289,15289,Netherlands,Soesterberg,6/11/1999,9:00,10/3/1965,35,Noord Holland,Utrecht,Administrative Support,Middle Level Education for Profession,2,More than 10,Opel,Intermediate,1998,Male,Netherlands/Dutch,195.00,76.77,110.00,242.51,Married,40kGuilders-60kGuilders,47,54,38,36,,Netherlands,Netherlands,Predominantly Sitting,40,,,5,About the Same
5291,15291,Netherlands,Soesterberg,29/11/1999,9:45,10/5/1944,56,Utrecht,Utrecht,Unemployed,High School,2,2-3,Toyota,Compact,1995,Female,Netherlands/Dutch,163.00,64.17,75.00,165.35,Divorced,20kGuilders-30kGuilders,39,,34,28,44,Netherlands,Netherlands,No Response,No Response,D,90,L,About the Same
5292,15292,Netherlands,Soesterberg,28/12/1999,14:45,24/3/1968,32,Zuid Holland,Utrecht,Administrative Support,University,0,2-3,Volkswagen,Intermediate,1995,Female,Netherlands/Dutch,169.00,66.54,70.00,154.32,Married,No Response,39.5,,No Response,No Response,40,Netherlands,Netherlands,Predominantly Sitting,40,B,80,42,About the Same
5294,15294,Netherlands,Soesterberg,18/10/1999,16:00,21/8/1963,36,Gelderland,Utrecht,Health and Wellbeing,Bachelors,0,2-3,Peugeot,Intermediate,1986,Female,Netherlands/Dutch,170.00,66.93,65.00,143.30,Single,Don't Know,39,,32,31,40,Netherlands,Netherlands,Predominantly Walking or Cycling,21,B,75,M,About the Same
5295,15295,Netherlands,Soesterberg,4/10/1999,16:00,20/4/1958,42,Gelderland,Utrecht,Financial Institutions,Middle Level Education for Profession,0,2-3,Renault,Compact,1998,Female,Netherlands/Dutch,161.00,63.39,65.00,143.30,Single,Don't Know,37,,31,29,38,Netherlands,Netherlands,Predominantly Sitting,30,C,80,No Response,About the Same
5296,15296,Netherlands,Soesterberg,6/10/1999,13:00,7/8/1946,53,Noord Holland,Gelderland,Unemployed,Bachelors,4,4-6,No Response,No Response,,Male,Netherlands/Dutch,168.00,66.14,85.00,187.39,Single,30kGuilders-40kGuilders,42,52,No Response,No Response,,Netherlands,Netherlands,No Response,No Response,,,7,Strong Decrease
5298,15298,Netherlands,Soesterberg,18/12/1999,14:00,30/9/1965,34,Zuid Holland,Gelderland,Transport Storage and Communication,High School,3,2-3,Fiat,Compact,1994,Male,Netherlands/Dutch,181.00,71.26,78.00,171.96,Married,40kGuilders-60kGuilders,42,52,36,34,,Netherlands,Netherlands,Predominantly Walking or Cycling,38,,,L,About the Same
5302,15302,Netherlands,Soesterberg,28/12/1999,10:30,10/6/1957,43,Utrecht,Utrecht,Construction,Middle Level Education for Profession,3,6-10,Toyota,Compact,1985,Male,Netherlands/Dutch,175.00,68.90,79.00,174.17,Married,40kGuilders-60kGuilders,44,54,34,36,,Netherlands,Netherlands,Predominantly Standing,40,,,5,About the Same
5305,15305,Netherlands,Soesterberg,13/11/1999,13:00,13/10/1954,45,Utrecht,Utrecht,No Response,Middle Level Education for Profession,No Response,No Response,No Response,No Response,,Female,Netherlands/Other,161.00,63.39,75.00,165.35,No Response,No Response,No Response,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
5307,15307,Netherlands,Soesterberg,21/10/1999,9:00,25/7/1955,44,Zuid Holland,Flevoland,Health and Wellbeing,Middle Level Education for Profession,2,2-3,Opel,Intermediate,1999,Female,Netherlands/Dutch,162.00,63.78,92.00,202.83,Widowed,60kGuilders-90kGuilders,38,,36,31,44,Netherlands,Netherlands,Carrying and Lifting,10,A,90,XL,About the Same
5308,15308,Netherlands,Soesterberg,9/10/1999,13:00,5/10/1948,51,Groningen,Gelderland,Health and Wellbeing,Bachelors,2,2-3,Opel,Intermediate,1998,Female,Netherlands/Dutch,168.00,66.14,77.00,169.76,Married,No Response,36,,34,32,44,Netherlands,Netherlands,Predominantly Walking or Cycling,23,D,80,L,About the Same
5309,15309,Netherlands,Soesterberg,18/3/2000,11:15,22/10/1959,40,Utrecht,Utrecht,Trade,Middle Level Education for Profession,3,2-3,Volkswagen,Intermediate,1999,Male,Netherlands/Dutch,178.00,70.08,82.00,180.78,Living Together,60kGuilders-90kGuilders,43,52,No Response,No Response,,Netherlands,Netherlands,Predominantly Sitting,40,,,6,About the Same
5312,15312,Netherlands,Soesterberg,3/11/1999,9:00,3/10/1971,28,Gelderland,Utrecht,Health and Wellbeing,Bachelors,0,2-3,Seat,Intermediate,1999,Male,Netherlands/Dutch,178.00,70.08,81.00,178.57,Married,60kGuilders-90kGuilders,43,52,34,34,,Netherlands,Netherlands,Predominantly Sitting,36,,,6,About the Same
5314,15314,Netherlands,Soesterberg,20/11/1999,16:30,12/7/1972,27,Gelderland,Utrecht,Construction,High School,0,0-1,Volkswagen,Minivan,1999,Male,Netherlands/Dutch,189.00,74.41,111.00,244.71,Single,20kGuilders-30kGuilders,44,No Response,38,36,,Netherlands,Netherlands,Predominantly Standing,40,,,XL,About the Same
5316,15316,Netherlands,Soesterberg,23/11/1999,10:30,7/2/1940,60,Noord Holland,Utrecht,Homemaker,Bachelors,3,More than 10,Volvo,Station Wagon,1997,Female,Netherlands/Dutch,176.00,69.29,75.00,165.35,Married,90kGuilders-120kGuilders,40,,No Response,No Response,42,Netherlands,Netherlands,No Response,No Response,B,90,42,About the Same
5317,15317,Netherlands,Soesterberg,17/9/1999,11:00,2/7/1957,42,Drenthe,Utrecht,Transport Storage and Communication,Lower Level Education for Profession,3,More than 10,No Response,No Response,,Male,Netherlands/Dutch,185.00,72.83,91.00,200.62,Married,40kGuilders-60kGuilders,44,53,33,36,,Netherlands,Netherlands,Predominantly Sitting,40,,,7,About the Same
5319,15319,Netherlands,Soesterberg,6/9/1999,10:00,20/10/1942,57,Utrecht,Utrecht,Unemployed,Elementary School,2,More than 10,No Response,No Response,,Female,Netherlands/Dutch,159.00,62.60,95.00,209.44,Married,Don't Know,36,,46,30,52,Netherlands,Netherlands,No Response,No Response,C,No Response,No Response,About the Same
5321,15321,Netherlands,Soesterberg,19/10/1999,16:00,8/10/1961,38,Gelderland,Noord Holland,Homemaker,Bachelors,1,6-10,BMW,Intermediate,1990,Female,Netherlands/Dutch,174.00,68.50,59.00,130.07,Married,40kGuilders-60kGuilders,39.5,,32,34,40,Netherlands,Netherlands,Predominantly Walking or Cycling,No Response,B,80,M,About the Same
5322,15322,Netherlands,Soesterberg,6/11/1999,10:00,14/3/1963,37,Utrecht,Utrecht,Transport Storage and Communication,Lower Level Education for Profession,0,2-3,Opel,Compact,1991,Female,Netherlands/Dutch,169.00,66.54,70.00,154.32,Single,40kGuilders-60kGuilders,40,,32,No Response,40,Netherlands,Netherlands,Predominantly Walking or Cycling,37,A,75,L,About the Same
5323,15323,Netherlands,Soesterberg,5/11/1999,11:00,10/10/1948,51,Zuid Holland,Utrecht,Other Speciality Occupation,Bachelors,0,0-1,Seat,Intermediate,1997,Female,Netherlands/Dutch,178.00,70.08,85.00,187.39,Single,Don't Know,42,,No Response,No Response,48,Netherlands,Netherlands,Predominantly Sitting,36,E,80,XL,About the Same
5326,15326,Netherlands,Soesterberg,29/12/1999,15:00,15/11/1974,25,Utrecht,Utrecht,Education,High School,0,2-3,No Response,No Response,,Female,Netherlands/Dutch,169.00,66.54,56.00,123.46,Married,40kGuilders-60kGuilders,38,,No Response,No Response,38,Netherlands,Netherlands,Predominantly Sitting,40,B,80,S,About the Same
5327,15327,Netherlands,Soesterberg,27/8/1999,15:00,24/11/1963,36,Utrecht,Utrecht,Homemaker,High School,2,0-1,No Response,Don't Know,,Female,Netherlands/Dutch,173.00,68.11,55.00,121.25,Married,30kGuilders-40kGuilders,41,,29,38,38,Netherlands,Netherlands,Predominantly Walking or Cycling,No Response,B,No Response,No Response,About the Same
5328,15328,Netherlands,Soesterberg,31/8/1999,15:30,11/2/1958,42,Utrecht,Utrecht,Industry,Lower Level Education for Profession,3,4-6,Ford,Intermediate,,Male,Netherlands/Dutch,205.00,80.71,130.00,286.60,Married,60kGuilders-90kGuilders,48,No Response,42,36,,Netherlands,Netherlands,Predominantly Walking or Cycling,36,,,8,About the Same
5330,15330,Netherlands,Soesterberg,15/10/1999,13:00,12/6/1946,53,Utrecht,Utrecht,Homemaker,High School,2,4-6,Mazda,Luxury,1996,Female,Netherlands/Dutch,169.00,66.54,71.00,156.53,Married,40kGuilders-60kGuilders,39,,32,31,42,Netherlands,Netherlands,Predominantly Walking or Cycling,20,A,75,M,About the Same
5332,15332,Netherlands,Soesterberg,6/9/1999,11:00,14/6/1938,61,Utrecht,Utrecht,Unemployed,Middle Level Education for Profession,2,2-3,Opel,Intermediate,1992,Female,Netherlands/Dutch,164.00,64.57,115.00,253.53,Married,Don't Know,41,,No Response,No Response,54,Netherlands,Netherlands,No Response,No Response,E,No Response,No Response,Strong Increase
5333,15333,Netherlands,Soesterberg,5/11/1999,16:00,7/2/1966,34,Noord Brabant,Flevoland,Armed Services,Middle Level Education for Profession,0,2-3,Honda,Intermediate,1996,Female,Netherlands/Dutch,167.00,65.75,75.00,165.35,Living Together,90kGuilders-120kGuilders,40,,No Response,No Response,42,Netherlands,Netherlands,Predominantly Sitting,38,C,80,L,About the Same
5335,15335,Netherlands,Soesterberg,20/10/1999,13:00,24/10/1979,20,Noord Holland,Noord Holland,Education,Middle Level Education for Profession,0,2-3,No Response,No Response,,Female,Netherlands/Dutch,173.00,68.11,76.00,167.55,Living Together,Less than 20kGuilders,39.5,,32,32,40,Netherlands,Netherlands,Predominantly Sitting,17,B,75,L,About the Same
5336,15336,Netherlands,Soesterberg,13/9/1999,9:00,28/10/1978,21,Zuid Holland,Utrecht,Other Speciality Occupation,High School,0,4-6,No Response,Compact,,Female,Netherlands/Dutch,170.00,66.93,69.00,152.12,Single,Less than 20kGuilders,40,,32,30,40,Netherlands,Netherlands,Predominantly Sitting,40,C,80,No Response,About the Same
5337,15337,Netherlands,Soesterberg,7/10/1999,13:00,13/2/1964,36,Gelderland,Utrecht,Homemaker,University,3,4-6,No Response,No Response,,Female,Netherlands/Dutch,156.00,61.42,60.00,132.28,Married,40kGuilders-60kGuilders,36,,31,29,40,Netherlands,Netherlands,Predominantly Walking or Cycling,10,B,75,L,About the Same
5340,15340,Netherlands,Soesterberg,9/8/1999,11:00,14/2/1949,51,Utrecht,Utrecht,Homemaker,High School,1,6-10,Ford,Intermediate,1991,Female,Netherlands/Dutch,168.00,66.14,78.50,173.06,Married,30kGuilders-40kGuilders,39,,34,28,46,Netherlands,Netherlands,Carrying and Lifting,40,D,90,No Response,About the Same
5341,15341,Netherlands,Soesterberg,29/9/1999,10:30,25/11/1934,65,Gelderland,Gelderland,Unemployed,Middle Level Education for Profession,1,0-1,Don't Know,Luxury,1990,Male,Netherlands/Dutch,190.00,74.80,91.00,200.62,Living Together,30kGuilders-40kGuilders,45,54,No Response,No Response,,Netherlands,Netherlands,Predominantly Walking or Cycling,No Response,,,No Response,About the Same
5342,15342,Netherlands,Soesterberg,20/10/1999,10:00,20/6/1953,46,Noord Brabant,Utrecht,Health and Wellbeing,High School,2,2-3,Citroen,Compact,1996,Female,Netherlands/Other,173.00,68.11,80.00,176.37,Married,60kGuilders-90kGuilders,42,,36,32,44,Netherlands,Indonesia,Predominantly Sitting,20,E,75,L,Strong Decrease
5343,15343,Netherlands,Soesterberg,24/9/1999,15:00,10/2/1941,59,Noord Holland,Noord Holland,Government,Middle Level Education for Profession,2,4-6,Citroen,Intermediate,1999,Male,Netherlands/Dutch,176.00,69.29,80.00,176.37,Married,90kGuilders-120kGuilders,42,50,34,32,,Netherlands,Netherlands,Predominantly Standing,36,,,5,About the Same
5346,15346,Netherlands,Soesterberg,9/11/1999,14:00,1/11/1952,47,Zuid Holland,Gelderland,Health and Wellbeing,Middle Level Education for Profession,2,2-3,Alfa Romeo,Intermediate,1995,Female,Netherlands/Dutch,172.00,67.72,72.00,158.73,Married,90kGuilders-120kGuilders,37.5,,No Response,No Response,42,Netherlands,Netherlands,Predominantly Walking or Cycling,24,A,75,M,About the Same
5347,15347,Netherlands,Soesterberg,14/10/1999,9:00,23/10/1967,32,Noord Holland,Utrecht,Trade,Middle Level Education for Profession,2,More than 10,Suzuki,Compact,1989,Female,Netherlands/Dutch,165.00,64.96,59.00,130.07,Married,60kGuilders-90kGuilders,39,,29,32,38,Netherlands,Netherlands,Predominantly Sitting,25,C,80,S,Strong Decrease
5350,15350,Netherlands,Soesterberg,13/11/1999,10:00,10/5/1960,40,Noord Brabant,Utrecht,Hotels and Restaurants,Elementary School,2,0-1,Suzuki,Compact,1992,Female,Netherlands/Dutch,173.00,68.11,71.00,156.53,Married,60kGuilders-90kGuilders,39,,No Response,No Response,42,Netherlands,Netherlands,Predominantly Walking or Cycling,32,B,85,M,About the Same
5351,15351,Netherlands,Soesterberg,3/9/1999,13:00,5/10/1975,24,Utrecht,Utrecht,Trade,Lower Level Education for Profession,0,More than 10,Ford,Intermediate,1991,Female,Netherlands/Dutch,180.00,70.87,100.00,220.46,Single,Don't Know,42,,44,No Response,46,Netherlands,Netherlands,Predominantly Walking or Cycling,40,No Response,No Response,No Response,Strong Decrease
5352,15352,Netherlands,Soesterberg,13/11/1999,11:00,16/6/1941,58,No Response,Noord Holland,Construction,Middle Level Education for Profession,1,2-3,Citroen,Intermediate,1997,Male,Netherlands/Dutch,174.00,68.50,75.00,165.35,Single,40kGuilders-60kGuilders,41,50,32,No Response,,Netherlands,Netherlands,Carrying and Lifting,40,,,6,About the Same
5355,15355,Netherlands,Soesterberg,13/11/1999,15:00,2/10/1964,35,Utrecht,Utrecht,Construction,Middle Level Education for Profession,1,2-3,Volvo,Intermediate,1984,Female,Netherlands/Dutch,168.00,66.14,58.00,127.87,Single,30kGuilders-40kGuilders,39,,30,32,38,Netherlands,Netherlands,Predominantly Sitting,40,B,70,38,About the Same
5356,15356,Netherlands,Soesterberg,8/1/2000,15:45,15/7/1967,33,Noord Holland,Utrecht,Administrative Support,Middle Level Education for Profession,1,More than 10,Opel,Compact,1994,Female,Netherlands/Dutch,172.00,67.72,70.00,154.32,Married,40kGuilders-60kGuilders,41,,No Response,No Response,42,Netherlands,Netherlands,Predominantly Sitting,24,B,85,L,About the Same
5357,15357,Netherlands,Soesterberg,17/9/1999,13:30,28/6/1951,48,Noord Holland,Utrecht,Administrative Support,Middle Level Education for Profession,2,0-1,Mazda,Intermediate,1990,Female,Netherlands/Dutch,167.00,65.75,72.00,158.73,Married,90kGuilders-120kGuilders,38,,32,30,42,Netherlands,Netherlands,Predominantly Sitting,24,B,85,7,About the Same
5358,15358,Netherlands,Soesterberg,8/10/1999,11:00,30/4/1959,40,Noord Holland,Utrecht,Health and Wellbeing,Middle Level Education for Profession,2,0-1,Fiat,Compact,1993,Female,Netherlands/Dutch,176.00,69.29,79.00,174.17,Married,90kGuilders-120kGuilders,40,,33,No Response,42,Netherlands,Netherlands,Predominantly Walking or Cycling,12,D,80,L,Strong Decrease
5360,15360,Netherlands,Soesterberg,21/9/1999,13:00,4/5/1945,54,Noord Holland,Utrecht,Unemployed,High School,2,0-1,BMW,Luxury,1988,Male,Netherlands/Dutch,178.00,70.08,99.00,218.26,Living Together,40kGuilders-60kGuilders,42,52,36,32,,Netherlands,Netherlands,No Response,No Response,,,7,Strong Increase
5362,15362,Netherlands,Soesterberg,10/9/1999,11:00,30/4/1957,42,Gelderland,Utrecht,Homemaker,Lower Level Education for Profession,1,0-1,No Response,No Response,,Female,Netherlands/Dutch,165.00,64.96,56.00,123.46,Divorced,30kGuilders-40kGuilders,39,,31,30,40,Netherlands,Netherlands,Predominantly Walking or Cycling,No Response,A,75,No Response,About the Same
